"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:22:17.4522682 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"10:22:17.4523210 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","NAME NOT FOUND","Length: 20"
"10:22:17.4524427 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:22:17.4525133 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"10:22:17.4525508 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"10:22:17.4526128 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","REPARSE","Desired Access: Query Value"
"10:22:17.4526550 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","NAME NOT FOUND","Desired Access: Query Value"
"10:22:17.4793606 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4794034 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\Compatibility\sample_create_window.exe","NAME NOT FOUND","Desired Access: Read"
"10:22:17.4967588 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4967996 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS","Desired Access: Query Value"
"10:22:17.4968504 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE\LaunchUserOOBE","NAME NOT FOUND","Length: 16"
"10:22:17.4969149 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS",""
"10:22:17.4970457 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4970765 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\Software\Microsoft\Rpc","SUCCESS","Desired Access: Read"
"10:22:17.4971181 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SOFTWARE\Microsoft\Rpc\MaxRpcSize","NAME NOT FOUND","Length: 16"
"10:22:17.4971500 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SOFTWARE\Microsoft\Rpc","SUCCESS",""
"10:22:17.4972409 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Services\CCG","REPARSE","Desired Access: Read"
"10:22:17.4972856 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Services\CCG","NAME NOT FOUND","Desired Access: Read"
"10:22:17.4973350 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Services\CCG","REPARSE","Desired Access: Read"
"10:22:17.4973737 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Services\CCG","NAME NOT FOUND","Desired Access: Read"
"10:22:17.4974167 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName","REPARSE","Desired Access: Read"
"10:22:17.4974543 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName","SUCCESS","Desired Access: Read"
"10:22:17.4974909 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName\ComputerName","SUCCESS","Type: REG_SZ, Length: 10, Data: ENVY"
"10:22:17.4975331 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName","SUCCESS",""
"10:22:17.4975729 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\Setup","SUCCESS","Desired Access: Read"
"10:22:17.4976118 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SYSTEM\Setup\OOBEInProgress","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:22:17.4976500 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SYSTEM\Setup","SUCCESS",""
"10:22:17.4976901 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\Setup","SUCCESS","Desired Access: Read"
"10:22:17.4977265 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SYSTEM\Setup\SystemSetupInProgress","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:22:17.4977600 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SYSTEM\Setup","SUCCESS",""
"10:22:17.4977998 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\sample_create_window.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:22:17.4979672 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4979985 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows NT\Rpc","NAME NOT FOUND","Desired Access: Read"
"10:22:17.4980844 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4981141 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\Software\Microsoft\Rpc","SUCCESS","Desired Access: Query Value"
"10:22:17.4981459 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SOFTWARE\Microsoft\Rpc\IdleTimerWindow","NAME NOT FOUND","Length: 16"
"10:22:17.4981852 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SOFTWARE\Microsoft\Rpc","SUCCESS",""
"10:22:17.5185579 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.5186000 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS","Desired Access: Query Value"
"10:22:17.5186388 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE\LaunchUserOOBE","NAME NOT FOUND","Length: 16"
"10:22:17.5186739 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS",""
